,rank,appid,name,num_votes,rating,tags
143,144,633230,NARUTO TO BORUTO: SHINOBI STRIKER,56335,84.0,"['multiplayer', 'co-op', 'singleplayer']"
144,145,744810,A Raven Monologue,2702,94.0,['singleplayer']
145,146,468920,Ultimate Fishing® Simulator,8587,89.0,"['multiplayer', 'co-op', 'singleplayer']"
146,147,322450,FRAMED Collection,3202,93.0,['singleplayer']
147,148,781440,"OH MY GOD, LOOK AT THIS KNIGHT",2177,95.0,['singleplayer']
148,149,628070,Romance of the Three Kingdoms XI with Power Up Kit,3930,92.0,['singleplayer']
149,150,579180,Ys VIII: Lacrimosa of DANA,6781,90.0,"['multiplayer', 'co-op', 'singleplayer']"
150,151,552520,Far Cry® 5,182359,81.0,"['multiplayer', 'co-op', 'singleplayer']"
151,152,868520,killer7,3699,93.0,['singleplayer']
152,153,748490,The Legend of Heroes: Trails of Cold Steel II,3028,93.0,['singleplayer']
153,154,774461,The Jackbox Party Pack 5,2876,94.0,"['multiplayer', 'co-op', 'singleplayer']"
154,155,587220,Jet Island,1722,96.0,"['multiplayer', 'co-op', 'singleplayer']"
155,156,600990,The Gardens Between,2723,94.0,['singleplayer']
156,157,868360,Project Hospital,8946,89.0,['singleplayer']
157,158,922460,Cheeky Chooks,2730,94.0,['singleplayer']
158,159,814540,Changed,17905,86.0,['singleplayer']
159,160,773670,Delete,1636,96.0,['singleplayer']
160,161,852110,RetroMaze,1556,96.0,['singleplayer']
161,162,637650,FINAL FANTASY XV WINDOWS EDITION,56209,83.0,"['multiplayer', 'co-op', 'singleplayer']"
162,163,976940,永冻之壳 The Shell of Permafrost,1199,98.0,['singleplayer']
163,164,963710,Lost in Vivo,3845,92.0,['singleplayer']
164,165,758190,Dragon Cliff,8059,89.0,['singleplayer']
165,166,757240,Aimtastic,2647,94.0,['singleplayer']
166,167,802870,The Ditzy Demons Are in Love With Me,1526,96.0,['singleplayer']
167,168,853550,Equilinox,2991,93.0,['singleplayer']
168,169,716490,EXAPUNKS,1842,95.0,['singleplayer']
169,170,448850,Overload,2096,94.0,"['multiplayer', 'singleplayer']"
170,171,882710,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,1434,96.0,['singleplayer']
171,172,393190,TSIOQUE,1865,95.0,['singleplayer']
172,173,793350,Swarmlake,1860,95.0,['singleplayer']
173,174,952040,MUSYNX,6523,89.0,['singleplayer']
174,175,944220,Gachi Heroes,2273,94.0,['singleplayer']
175,176,857450,ISLAND,1745,95.0,['singleplayer']
176,177,668350,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,849,99.0,['singleplayer']
177,178,637090,BATTLETECH,32498,84.0,"['multiplayer', 'singleplayer']"
178,179,888090,TREE,2290,93.0,['singleplayer']
179,180,677120,Heroes of Hammerwatch,9402,88.0,"['multiplayer', 'co-op', 'singleplayer']"
180,181,785890,Hexologic,1329,96.0,['singleplayer']
181,182,858760,Scalak,1073,97.0,['singleplayer']
182,183,315460,Dig or Die,4261,90.0,"['multiplayer', 'co-op', 'singleplayer']"
183,184,792100,7 Billion Humans,2080,94.0,['singleplayer']
184,185,943380,Timberman VS,3388,91.0,"['multiplayer', 'singleplayer']"
185,186,843260,The Bard's Tale Trilogy,1503,95.0,['singleplayer']
186,187,534550,Guacamelee! 2,3280,91.0,"['multiplayer', 'co-op', 'singleplayer']"
187,188,742300,Mega Man 11,5130,89.0,['singleplayer']
188,189,757480,Broken Reality,2179,93.0,['singleplayer']
189,190,323220,Vagante,4964,89.0,"['multiplayer', 'co-op', 'singleplayer']"
190,191,971680,Montaro RE,1330,95.0,['singleplayer']
191,192,221100,DayZ,453329,77.0,"['multiplayer', 'co-op']"
192,193,931500,Touhou Genso Wanderer -Reloaded-,1826,93.0,['singleplayer']
193,194,834740,Circle Empires,4073,90.0,['singleplayer']
194,195,761620,Beholder 2,7809,87.0,['singleplayer']
195,196,733340,Hakuoki: Edo Blossoms,1042,96.0,['singleplayer']
196,197,853770,Maximum Action,3819,90.0,['singleplayer']
197,198,951240,Obenseuer,1451,94.0,['singleplayer']
198,199,862570,Ding Dong XL,872,97.0,['singleplayer']
199,200,658550,Zup! Zero 2,1283,95.0,['singleplayer']
200,201,718560,Scythe: Digital Edition,3736,90.0,"['multiplayer', 'singleplayer']"
201,202,766280,A Light in the Dark,1719,93.0,['singleplayer']
202,203,416600,Full Metal Furies,2883,91.0,"['multiplayer', 'co-op', 'singleplayer']"
203,204,431930,Kabounce,2564,91.0,"['multiplayer', 'co-op', 'singleplayer']"
204,205,820730,Adventure of a Lifetime,868,97.0,['singleplayer']
205,206,787070,Super Ledgehop: Double Laser,791,97.0,['singleplayer']
206,207,396710,The Adventure Pals,1949,92.0,"['multiplayer', 'co-op', 'singleplayer']"
207,208,646270,60 Parsecs!,3957,89.0,['singleplayer']
208,209,753220,Mhakna Gramura and Fairy Bell,650,98.0,['singleplayer']
209,210,790820,Valkyria Chronicles 4 Complete Edition,6882,87.0,['singleplayer']
210,211,893680,Project Warlock,5979,87.0,['singleplayer']
211,212,758370,Through the Ages,2297,91.0,"['multiplayer', 'singleplayer']"
212,213,923260,Golf Peaks,1012,95.0,['singleplayer']
213,214,581630,Sword With Sauce,6465,87.0,['singleplayer']
214,215,822930,Wolf Tails,930,95.0,['singleplayer']
215,216,855860,Superfighters Deluxe,3432,89.0,"['multiplayer', 'co-op', 'singleplayer']"
216,217,876850,WhiteLily 1：丽丽公主,1205,94.0,['singleplayer']
217,218,742250,OPUS: Rocket of Whispers,1640,92.0,['singleplayer']
218,219,840010,Garden Paws,2483,90.0,"['multiplayer', 'co-op', 'singleplayer']"
219,220,950460,Paradise Cleaning!,1327,93.0,['singleplayer']
220,221,440900,Conan Exiles,111113,79.0,"['multiplayer', 'co-op', 'singleplayer']"
221,222,716710,東方憑依華　～ Antinomy of Common Flowers.,1933,91.0,"['multiplayer', 'singleplayer']"
222,223,841770,Siralim 3,988,95.0,['singleplayer']
223,224,833040,Hiveswap Friendsim,1379,93.0,['singleplayer']
224,225,783120,淑女同萌！,847,95.0,['singleplayer']
225,226,818320,LEGO® The Incredibles,2359,90.0,"['multiplayer', 'co-op', 'singleplayer']"
226,227,885000,Synth Riders,1629,92.0,"['multiplayer', 'singleplayer']"
227,228,758330,Shenmue I & II,3131,89.0,['singleplayer']
228,229,846110,The friends of Ringo Ishikawa,3036,89.0,"['multiplayer', 'co-op', 'singleplayer']"
229,230,842780,NavalArt,2134,90.0,"['multiplayer', 'singleplayer']"
230,231,375530,"Football, Tactics & Glory",4131,88.0,"['multiplayer', 'singleplayer']"
231,232,632350,Cyberdimension Neptunia: 4 Goddesses Online,4693,87.0,"['multiplayer', 'singleplayer']"
232,233,852480,Snow Daze: The Music of Winter Special Edition,1360,93.0,['singleplayer']
233,234,312670,Strange Brigade,11083,84.0,"['multiplayer', 'co-op', 'singleplayer']"
234,235,831560,WARRIORS OROCHI 4,5531,87.0,"['multiplayer', 'co-op', 'singleplayer']"
235,236,609490,Minit,2774,89.0,['singleplayer']
236,237,893030,Music Racer,3635,88.0,"['multiplayer', 'singleplayer']"
237,238,606150,Moonlighter,21437,82.0,['singleplayer']
238,239,845880,Touhou: Scarlet Curiosity,1291,93.0,['singleplayer']
239,240,939620,Pleasure Puzzle:Portrait 趣拼拼：肖像画,1876,91.0,['singleplayer']
240,241,525620,Octogeddon,1260,93.0,['singleplayer']
241,242,206500,AirMech,10797,84.0,"['multiplayer', 'co-op', 'singleplayer']"
242,243,827290,Secret Little Haven,481,98.0,['singleplayer']
243,244,929670,Orion Sandbox Enhanced,1052,94.0,['singleplayer']
244,245,732370,Juicy Realm,3650,88.0,"['multiplayer', 'co-op', 'singleplayer']"
245,246,955560,Evenicle,1309,92.0,['singleplayer']
246,247,882110,Google Spotlight Stories: Age of Sail,470,98.0,['singleplayer']
247,248,904740,东方试闻广纪 ~ Perfect Memento of Touhou Question,882,94.0,['singleplayer']
248,249,851530,Mini-Dead,907,94.0,['singleplayer']
249,250,736570,The Crooked Man,1181,93.0,['singleplayer']
