,rank,appid,name,num_votes,rating,tags
108,109,1148590,DOOM 64,8337,93.0,['singleplayer']
109,110,960690,One Step From Eden,7587,93.0,"['multiplayer', 'co-op', 'singleplayer']"
110,111,1139890,Dictators:No Peace Countryballs,6186,94.0,['singleplayer']
111,112,814370,Monster Sanctuary,12243,91.0,"['multiplayer', 'singleplayer']"
112,113,1178490,港詭實錄ParanormalHK,19842,90.0,['singleplayer']
113,114,1145960,The White Door,6488,94.0,['singleplayer']
114,115,1049100,泡沫冬景,4463,95.0,['singleplayer']
115,116,870780,Control Ultimate Edition,58094,86.0,['singleplayer']
116,117,1363430,Propagation VR,5791,94.0,['singleplayer']
117,118,1179210,Kill It With Fire,5310,95.0,['singleplayer']
118,119,946050,Soda Dungeon 2,5576,94.0,['singleplayer']
119,120,1283190,Neighbours back From Hell,4835,95.0,['singleplayer']
120,121,848480,Creeper World 4,4577,95.0,"['multiplayer', 'co-op', 'singleplayer']"
121,122,1293860,The Riftbreaker: Prologue,4118,95.0,['singleplayer']
122,123,1164050,When The Past Was Around,4278,95.0,['singleplayer']
123,124,874390,The Battle of Polytopia,5669,94.0,"['multiplayer', 'singleplayer']"
124,125,894940,Littlewood,6781,93.0,['singleplayer']
125,126,1161870,Epiphyllum in Love,2301,98.0,['singleplayer']
126,127,1349060,It Steals,2260,98.0,['singleplayer']
127,128,1304550,Progressbar95,3346,96.0,['singleplayer']
128,129,445220,Avorion,14206,90.0,"['multiplayer', 'co-op', 'singleplayer']"
129,130,12210,Grand Theft Auto IV: The Complete Edition,190573,83.0,"['multiplayer', 'singleplayer']"
130,131,559650,Witch It,19674,89.0,['multiplayer']
131,132,1130410,Cyber Hook,4076,95.0,['singleplayer']
132,133,965680,Boomerang Fu,2831,97.0,"['multiplayer', 'co-op', 'singleplayer']"
133,134,1275350,Ninja Kiwi Archive,5668,93.0,"['multiplayer', 'co-op', 'singleplayer']"
134,135,1232180,Sakuya Izayoi Gives You Advice And Dabs,2366,98.0,['singleplayer']
135,136,978780,STORY OF SEASONS: Friends of Mineral Town,5599,93.0,['singleplayer']
136,137,1045720,The Coma 2: Vicious Sisters,3376,96.0,['singleplayer']
137,138,1210250,Island Saver,3741,95.0,['singleplayer']
138,139,1286350,BPM: BULLETS PER MINUTE,11314,91.0,['singleplayer']
139,140,1217390,Some Some Convenience Store,3100,96.0,['singleplayer']
140,141,893850,THE LONGING,7213,92.0,['singleplayer']
141,142,1293230,House of Detention,10575,91.0,"['multiplayer', 'co-op', 'singleplayer']"
142,143,1186640,Pumpkin Jack,9312,91.0,['singleplayer']
143,144,1324780,Easy Red 2,12052,90.0,"['multiplayer', 'co-op', 'singleplayer']"
144,145,1202900,Assemble with Care,9801,91.0,['singleplayer']
145,146,550320,art of rally,6087,92.0,['singleplayer']
146,147,785790,WHAT THE GOLF?,4610,94.0,"['multiplayer', 'singleplayer']"
147,148,933110,Age of Empires III: Definitive Edition,52212,85.0,"['multiplayer', 'singleplayer']"
148,149,1297160,a new life.,2357,97.0,['singleplayer']
149,150,1307890,Kingdoms Reborn,9457,91.0,"['multiplayer', 'co-op', 'singleplayer']"
150,151,656350,UnderMine,9732,90.0,['singleplayer']
151,152,1340130,Aokana - Four Rhythms Across the Blue - EXTRA1,1638,99.0,['singleplayer']
152,153,757320,Atomicrops,6102,92.0,['singleplayer']
153,154,268650,From the Depths,12451,89.0,"['multiplayer', 'co-op', 'singleplayer']"
154,155,1156990,Return to Shironagasu Island,3943,94.0,['singleplayer']
155,156,1175140,Vecter,2927,95.0,['singleplayer']
156,157,823910,Last Evil,3598,94.0,['singleplayer']
157,158,1139980,Travellers Rest,16263,88.0,"['multiplayer', 'co-op', 'singleplayer']"
158,159,1356670,Sakuna: Of Rice and Ruin,5624,92.0,['singleplayer']
159,160,1299120,Mosaique Neko Waifus 2,2828,95.0,['singleplayer']
160,161,1166860,Rival Stars Horse Racing: Desktop Edition,4837,93.0,"['multiplayer', 'singleplayer']"
161,162,938560,INMOST,7109,91.0,['singleplayer']
162,163,858260,Until You Fall,3279,94.0,['singleplayer']
163,164,1347030,THE CORRIDOR,3439,94.0,['singleplayer']
164,165,725480,Slap City,2876,95.0,"['multiplayer', 'co-op', 'singleplayer']"
165,166,1160220,Paradise Killer,4345,93.0,['singleplayer']
166,167,1116580,Shady Part of Me,3114,94.0,['singleplayer']
167,168,393380,Squad,231484,81.0,"['multiplayer', 'co-op']"
168,169,1111370,A Summer's End - Hong Kong 1986,2124,96.0,['singleplayer']
169,170,1460090,The Life and Suffering of Sir Brante — Chapter 1&2,2032,96.0,['singleplayer']
170,171,1368860,像素女友,1390,98.0,['singleplayer']
171,172,1106840,Hydroneer,26824,86.0,"['multiplayer', 'co-op', 'singleplayer']"
172,173,1450830,At Dead Of Night,3310,94.0,['singleplayer']
173,174,1194840,Frog Fractions: Game of the Decade Edition,2696,95.0,['singleplayer']
174,175,1246020,NOeSIS01_诉说谎言记忆物语,1483,98.0,['singleplayer']
175,176,924980,Trials of Mana,5625,91.0,['singleplayer']
176,177,1416130,Perfect Vermin,3776,93.0,['singleplayer']
177,178,1444350,House,2071,96.0,['singleplayer']
178,179,1283130,Micro Platformer,1748,97.0,['singleplayer']
179,180,746850,Cloudpunk,14999,88.0,['singleplayer']
180,181,1064460,Murder House,2272,95.0,['singleplayer']
181,182,1249880,Tiny Bunny: Prologue,2228,95.0,['singleplayer']
182,183,998740,Ring of Pain,4993,92.0,['singleplayer']
183,184,524910,Hidden Through Time,2986,94.0,['singleplayer']
184,185,805590,ARMORED HEAD,1266,98.0,['singleplayer']
185,186,1084640,Chicken Police - Paint it RED!,2468,95.0,['singleplayer']
186,187,1201280,A Space For The Unbound - Prologue,1314,98.0,['singleplayer']
187,188,788100,Neon Abyss,23453,86.0,['singleplayer']
188,189,1404210,Red Dead Online,68457,83.0,"['multiplayer', 'co-op']"
189,190,952060,Resident Evil 3,99985,82.0,"['multiplayer', 'singleplayer']"
190,191,591460,Parkasaurus,3083,93.0,['singleplayer']
191,192,1430420,CBT With Yuuka Kazami,1424,97.0,['singleplayer']
192,193,1146970,My Vow to My Liege,4064,92.0,['singleplayer']
193,194,1335560,UNREAL LIFE,1850,96.0,['singleplayer']
194,195,1150950,Timelie,2489,94.0,['singleplayer']
195,196,1225780,他人世界末 On-looker,2946,93.0,['singleplayer']
196,197,1347430,Cute Honey,5515,91.0,['singleplayer']
197,198,1213740,She Will Punish Them,18148,86.0,['singleplayer']
198,199,1146630,Yokai's Secret,6907,90.0,['singleplayer']
199,200,1168470,千面 Melancholy Love,2202,95.0,['singleplayer']
200,201,955900,Amazing Cultivation Simulator,23381,86.0,['singleplayer']
201,202,397540,Borderlands 3,161562,81.0,"['multiplayer', 'co-op', 'singleplayer']"
202,203,1201240,BLEACH Brave Souls,12456,88.0,"['multiplayer', 'co-op', 'singleplayer']"
203,204,495420,State of Decay 2: Juggernaut Edition,66572,83.0,"['multiplayer', 'co-op', 'singleplayer']"
204,205,1071130,The Procession to Calvary,1235,98.0,['singleplayer']
205,206,1216080,坦率的小红帽和爱说谎的狼,1112,98.0,['singleplayer']
206,207,960910,Heavy Rain,25995,85.0,['singleplayer']
207,208,1357870,Metel - Horror Escape,2343,94.0,['singleplayer']
208,209,1212620,Pretty Neko,3066,93.0,['singleplayer']
209,210,1115690,"Yes, Your Grace",13489,87.0,['singleplayer']
210,211,962730,Skater XL - The Ultimate Skateboarding Game,19591,86.0,"['multiplayer', 'co-op', 'singleplayer']"
211,212,793460,112 Operator,7109,89.0,['singleplayer']
212,213,1385730,Mosaique Neko Waifus 3,2064,95.0,['singleplayer']
213,214,1151440,Utawarerumono: Mask of Truth,1442,96.0,['singleplayer']
214,215,1299370,Friendship with Benefits,1628,96.0,['singleplayer']
215,216,1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),4738,91.0,"['multiplayer', 'co-op', 'singleplayer']"
216,217,1546860,Saiko no sutoka,3676,92.0,['singleplayer']
217,218,926340,Roman's Christmas / 罗曼圣诞探案集,1487,96.0,['singleplayer']
218,219,407130,Tank Mechanic Simulator,8799,88.0,['singleplayer']
219,220,1214280,Walking Simulator,9450,88.0,['singleplayer']
220,221,965580,Root,5099,90.0,"['multiplayer', 'singleplayer']"
221,222,1260810,Touhou Blooming Chaos 2,2574,93.0,['singleplayer']
222,223,1378290,The Citadel,2637,93.0,['singleplayer']
223,224,1238680,Amairo Chocolate,980,98.0,['singleplayer']
224,225,876650,Aground,1949,94.0,"['multiplayer', 'co-op', 'singleplayer']"
225,226,1283220,Devolverland Expo,5724,89.0,['singleplayer']
226,227,1395560,Kandidatos,4245,90.0,"['multiplayer', 'singleplayer']"
227,228,1275640,Coloring Game 3,1510,95.0,['singleplayer']
228,229,719040,Wasteland 3,21810,85.0,"['multiplayer', 'co-op', 'singleplayer']"
229,230,1052990,A Monster's Expedition,1555,95.0,['singleplayer']
230,231,1178050,狐の旅路,1475,95.0,['singleplayer']
231,232,1435310,Shotgun Witch,1088,97.0,['singleplayer']
232,233,523660,HYPERCHARGE: Unboxed,4361,90.0,"['multiplayer', 'co-op', 'singleplayer']"
233,234,866140,Arise: A Simple Story,2922,92.0,"['multiplayer', 'co-op', 'singleplayer']"
234,235,1154810,Going Under,3981,90.0,['singleplayer']
235,236,1196630,Nexomon: Extinction,3904,90.0,['singleplayer']
236,237,1162070,Nyakori's Rabbit Doll,1401,95.0,['singleplayer']
237,238,1100990,Aimbeast,2145,93.0,"['multiplayer', 'singleplayer']"
238,239,983970,Haven,5852,89.0,"['multiplayer', 'co-op', 'singleplayer']"
239,240,1238730,Flowers -Le volume sur automne-,747,99.0,['singleplayer']
240,241,1440440,Sam & Max Save the World,1843,94.0,['singleplayer']
241,242,1389630,High Entropy: Challenges,1251,96.0,['singleplayer']
242,243,1181400,Path of Giants,985,97.0,['singleplayer']
243,244,991270,The Legend of Heroes: Trails of Cold Steel III,3120,91.0,['singleplayer']
244,245,1281270,Fatum Betula,1047,97.0,['singleplayer']
245,246,1393350,Swaying Girl,5085,89.0,['singleplayer']
246,247,994140,Lightmatter,2843,91.0,['singleplayer']
247,248,1437830,Heroes of the Three Kingdoms 2,1836,93.0,['singleplayer']
248,249,970830,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,7818,87.0,['singleplayer']
249,250,1257410,Cat in the Box,1496,94.0,['singleplayer']
